Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Saudi Arabia,SAU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.55,5.77,5.622,5.6,5.877,5.6,5.6,5.89,6.029,5.636,7.66,6.621,5.589,4.008,3.518,3.038
Saudi Arabia,SAU,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,18.743,20.812,22.63,23.517,25.225,25.414,24.341,23.683,22.892,23.288,24.714,18.607,16.864,12.434,10.862,9.687
Spain,ESP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.0941223116369514,-0.639920636520344,-2.86511368637748,-1.42732224757626,1.52048593647231,4.06086672473866,2.91515598595787,2.89604207865007,2.39541124478878,1.96117850841711,-10.9400706350371,6.68314420473001,6.37031712129601,2.46085796805582,3.45525405630191,..
Spain,ESP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.79986457728768,3.1961018883379,2.44612782366808,1.40858109183018,-0.151114837527234,-0.500365709903242,-0.202598000426452,1.95607633363963,1.6749813686379,0.699518994458738,-0.322753017299739,3.09313511976419,8.39057634118626,3.53236133492432,2.77417826534772,..
Spain,ESP,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,19.568,21.046,24.584,25.605,23.604,20.782,18.132,15.667,13.729,12.46,13.882,13.223,11.405,10.672,10.219,8.982
Spain,ESP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,19.86,21.39,24.789,26.094,24.441,22.057,19.635,17.224,15.255,14.104,15.532,14.914,13.033,12.179,11.4,10.376
Spain,ESP,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,20.227,21.814,25.035,26.676,25.431,23.557,21.394,19.04,17.036,16.01,17.446,16.843,14.902,13.88,12.724,11.939
Switzerland,CHE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.24339715656356,1.81310830459596,1.17925385250513,1.79214400716117,2.34988141500179,1.64462750849488,2.06868969039562,1.36279965488859,2.86044579439036,1.14198218965691,-2.14173712008038,5.55962020605844,3.04406102969423,0.683328174376044,1.30233332541106,..
Switzerland,CHE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.688238707219974,0.2313492076509,-0.692552018105163,-0.217323155115672,-0.0132025387515945,-1.14390867228178,-0.434618664285814,0.533787839825876,0.936335464113572,0.362886179940674,-0.725874933313402,0.581814168489855,2.83502798644451,2.13540088016386,1.06234041976594,..
Switzerland,CHE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,4.479,4.08,4.282,4.6,4.688,4.704,4.841,4.57,4.367,4.114,4.656,4.816,3.894,3.832,4.149,4.724
Switzerland,CHE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.808,4.409,4.491,4.747,4.826,4.801,4.918,4.797,4.713,4.394,4.817,5.013,4.122,4.043,4.343,4.873
Switzerland,CHE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,5.197,4.798,4.737,4.918,4.986,4.912,5.006,5.058,5.109,4.712,5,5.237,4.382,4.283,4.56,5.039
Turkiye,TUR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.54219848467686,10.9799625273598,4.80762696633448,8.48825689298511,4.60079447270559,5.80557386628684,3.32366508200445,7.82585730002594,3.46815306092219,1.30162365464503,1.80306247087255,11.811094450607,5.44122511322401,5.04512369812289,3.3276230893799,..
Turkiye,TUR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,8.56644420552976,6.471879671151,8.89156996512163,7.49309030547693,8.85457271364316,7.67085364845885,7.7751341532833,11.1443110840764,16.3324638988929,15.1768215720022,12.2789574462574,19.5964926913324,72.3088359891207,53.8594087593315,58.5064507300342,..
Turkiye,TUR,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,11.439,9.18,8.548,8.753,9.042,9.255,9.603,9.429,9.558,12.391,12.31,10.671,8.972,7.689,7.176,6.877
Turkiye,TUR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.879,9.789,9.21,9.713,9.901,10.304,10.899,10.919,10.956,13.73,13.148,11.969,10.465,9.388,8.8,8.52
Turkiye,TUR,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,12.998,11.291,10.791,11.925,11.904,12.664,13.743,14.099,13.894,16.502,14.976,14.715,13.467,12.719,11.926,11.649
United Kingdom,GBR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.26054460931586,0.851437739020326,1.52826034721852,1.71846961308464,3.16017351468152,2.14040560033371,2.20652020635357,3.02322219840339,1.55133095078786,1.25629899760824,-10.047896637362,8.5431118453255,5.14970388522993,0.271650048355255,1.1264226705118,..
United Kingdom,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.49265472467065,3.8561124468282,2.5732347965453,2.29166666666659,1.45112016293279,0.36804684232536,1.0084173681141,2.55775577557747,2.29283990345938,1.73810460086513,0.989486703772491,2.51837109614213,7.92204883147902,6.79396706793963,3.2715729463592,..
United Kingdom,GBR,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,8.79,8.821,8.807,8.27,6.694,5.707,5.044,4.624,4.217,3.835,4.76,5.083,3.911,4.335,4.568,5.058
United Kingdom,GBR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.973,8.195,8.279,7.752,6.398,5.552,4.909,4.501,4.145,3.657,4.472,4.864,3.768,4.025,4.361,4.746
United Kingdom,GBR,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,7.03,7.475,7.672,7.162,6.061,5.376,4.757,4.363,4.065,3.461,4.156,4.626,3.612,3.683,4.135,4.405
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.69519257744442,1.56440685763506,2.28911338669843,2.11783009790057,2.52381981363968,2.94555045484053,1.81945147788167,2.45762229852507,2.96650506901305,2.58382533412825,-2.16302914036166,6.05505293244555,2.51237531986017,2.88755600749487,2.79300127716779,..
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.6400434423899,3.156841568622,2.06933726526067,1.46483265562717,1.62222297740817,0.118627135552451,1.26158320570536,2.13011000365961,2.44258329692817,1.81221007526021,1.23358439630629,4.69785886363742,8.00279982052121,4.11633838374488,2.94952520485207,..
United States,USA,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,10.496,9.363,8.219,7.629,6.259,5.366,4.937,4.394,3.945,3.72,7.807,5.463,3.68,3.795,4.112,4.213
United States,USA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.633,8.949,8.069,7.375,6.168,5.28,4.869,4.355,3.896,3.669,8.055,5.349,3.65,3.638,4.022,4.198
United States,USA,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,8.601,8.453,7.888,7.067,6.057,5.175,4.786,4.307,3.836,3.608,8.356,5.21,3.613,3.45,3.914,4.179
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,,,,,,,
